"P00043","4","P00021","1"
"P00009","7","P00033","7"
"P00025","2","P00044","5"
"P00038","2","P00014","5"
"P00032","3","P00016","2"
"P00030","3","P00042","6"
"Score","0",,"2"
""
"P00013","3","P00044","5"
"P00017","4","P00009","7"
"P00024","7","P00042","6"
"P00003","3","P00011","3"
"P00028","5","P00049","7"
"P00037","4","P00046","3"
"Score","0",,"2"
""
"P00031","8","P00043","4"
"P00032","3","P00019","3"
"P00035","6","P00020","9"
"P00011","3","P00008","5"
"P00027","7","P00012","1"
"P00049","7","P00029","6"
"Score","2",,"0"
""
"P00015","4","P00050","1"
"P00037","4","P00025","2"
"P00001","5","P00026","2"
"P00030","3","P00016","2"
"P00043","4","P00029","6"
"P00008","5","P00018","1"
"Score","4",,"0"
""
"P00023","2","P00003","3"
"P00013","3","P00007","6"
"P00042","6","P00006","4"
"P00010","1","P00021","1"
"P00034","1","P00018","1"
"P00037","4","P00033","7"
"Score","0",,"2"
""
"P00031","8","P00005","5"
"P00044","5","P00024","7"
"P00037","4","P00039","4"
"P00009","7","P00008","5"
"P00014","5","P00015","4"
"P00040","5","P00035","6"
"Score","1",,"0"
""
"P00045","9","P00006","4"
"P00021","1","P00024","7"
"P00026","2","P00019","3"
"P00009","7","P00029","6"
"P00003","3","P00037","4"
"P00050","1","P00041","8"
"Score","0",,"3"
""
"P00023","2","P00004","2"
"P00006","4","P00007","6"
"P00009","7","P00014","5"
"P00012","1","P00022","5"
"P00024","7","P00002","9"
"P00044","5","P00001","5"
"Score","0",,"2"
""
"P00019","3","P00002","9"
"P00022","5","P00035","6"
"P00043","4","P00006","4"
"P00008","5","P00003","3"
"P00030","3","P00014","5"
"P00049","7","P00004","2"
"Score","0",,"1"
""
"P00040","5","P00017","4"
"P00028","5","P00012","1"
"P00006","4","P00033","7"
"P00047","8","P00009","7"
"P00025","2","P00023","2"
"P00013","3","P00008","5"
"Score","0",,"0"
""
"P00038","2","P00041","8"
"P00008","5","P00022","5"
"P00011","3","P00026","2"
"P00012","1","P00018","1"
"P00029","6","P00042","6"
"P00036","5","P00028","5"
"Score","0",,"2"
""
"P00045","9","P00012","1"
"P00032","3","P00014","5"
"P00023","2","P00029","6"
"P00040","5","P00039","4"
